id	axis	axis_name	title	claim	evidence	testable
A1-H1	1	프롬프트지시문	긍정형 간결성 지시	간결성 지시가 출력을 줄이고, 긍정형이 부정형보다 감소 폭이 크다	문서확인	로컬가능
A1-H2	1	프롬프트지시문	말미 리마인더 배치	긴 프롬프트에서 앞부분만보다 앞+말미 리마인더가 더 줄인다	문서확인	로컬가능
A1-H3	1	프롬프트지시문	수치 상한 지시	수치 상한은 더 크게 줄이지만 요구사항 충족도가 하락한다	문서확인	로컬가능
A1-H4	1	프롬프트지시문	서론·자평 억제	서론·맺음말·자평·자기수정 서술 억제가 품질 유지하며 줄인다	문서확인	로컬가능
A1-H5	1	프롬프트지시문	예시 길이 앵커링	출력 길이가 프롬프트에 붙인 예시 답변의 길이를 따라간다	추정	로컬가능
A1-H6	1	프롬프트지시문	검증 지시 제거	과잉 검증 유발 지시를 제거하면 품질 손실 없이 출력이 준다	문서확인	로컬가능
A1-H7	1	프롬프트지시문	프롬프트 마크다운 제거	지시문을 평문 산문으로 주면 출력의 마크업 비율과 길이가 준다	문서확인	로컬가능
A2-H1	2	출력스키마	JSON→TSV 전환	전체 키 JSON 대신 헤더 TSV로 내면 정확도 유지하며 길이가 준다	문서확인	로컬가능
A2-H2	2	출력스키마	키 축약	1글자 축약 키는 길이를 줄이지만 셀 정확도가 낮아진다	문서확인	로컬가능
A2-H3	2	출력스키마	enum 코드화	enum 정수 코드화는 길이를 줄이고 정확도 손실은 키 축약보다 작다	측정필요	로컬가능
A2-H4a	2	출력스키마	SO 포장지 제거	산문 지시 JSON에는 페이로드 밖 문자가 있고 SO가 이를 0으로 만든다	문서확인	API필요
A2-H4b	2	출력스키마	필수 필드 역효과	전 필드 required 스키마는 생략됐을 필드를 강제해 페이로드를 늘린다	측정필요	API필요
A2-H5	2	출력스키마	positional 출력	헤더 제거+코드화는 더 줄지만 레코드 정확도가 가장 크게 하락한다	측정필요	로컬가능
A2-H6	2	출력스키마	마크다운 표 비용	마크다운 표는 같은 정보의 TSV보다 길고 증가분은 레코드 수에 비례	측정필요	로컬가능
A2-H7	2	출력스키마	변경분만 반환	변경분 반환이 길이를 줄이나 최종 일치율은 전체 재출력이 가장 높다	측정필요	로컬가능
A2-H8	2	출력스키마	레코드 수 종속성	포맷별 절감 폭은 레코드 수 N에 대해 대략 선형으로 커진다	추정	로컬가능
A3-H3-1	3	API파라미터	effort는 thinking 레버	effort 하향의 감소분은 대부분 thinking이고 응답문은 유의하게 안 준다	문서확인	API필요
A3-H3-2	3	API파라미터	thinking 끄기 부작용	disabled가 최대 절감이나 누출이 생기고 adaptive+low가 대안이다	문서확인	API필요
A3-H3-3	3	API파라미터	display는 비용 레버 아님	omitted와 summarized의 output_tokens는 구분되지 않는다	문서확인	API필요
A3-H3-4	3	API파라미터	max_tokens는 손실 기법	max_tokens 하향의 감소분 상당수가 잘림에서 오므로 절감이 아니다	문서확인	API필요
A3-H3-5	3	API파라미터	task_budget 완결률	같은 예산에서 task_budget이 max_tokens보다 완결률이 높다	문서확인	API필요
A3-H3-6	3	API파라미터	모델별 길이 성향	모델별 출력 길이비가 단가비와 방향이 달라 라우팅 손익이 달라진다	측정필요	API필요
A3-H3-7	3	API파라미터	프롬프트와 effort 가산	응답문 절감은 프롬프트가 우세하며 두 레버는 서로 가산적이다	문서확인	API필요
A4-H1	4	아키텍처	결정적 라우터	라우터를 결정적 코드로 옮기면 O_r=0이 되어 손익분기가 완화된다	추정	로컬가능
A4-H2	4	아키텍처	라우팅은 비용 이득뿐	라우팅은 토큰 총합 이득이 거의 없고 출력 단가비에서만 이득이다	측정필요	로컬가능
A4-H3	4	아키텍처	부분 재생성 손익분기	손익은 부등식 하나로 결정되고 출력 형식이 H와 q를 함께 움직인다	추정	로컬가능
A4-H4	4	아키텍처	멀티에이전트 기본 손해	멀티에이전트는 총출력 증가가 기본이고 압축 루프에서만 역전된다	문서확인	로컬가능
A4-H5	4	아키텍처	손익 부호는 k 무관	오버헤드와 이득이 둘 다 k에 선형이라 에이전트 증설로 만회 불가	추정	로컬가능
A4-H6	4	아키텍처	PTC 이득 분해	PTC 이득은 라운드 수 R의 계단 함수이고 서술 제거 기여가 더 크다	측정필요	API필요
