id	status	round	result	explainer
A2-H1	채택	1	−64.5% (proxy), 셀 정확도 손실 0	r1-h1-tabular-json-vs-tsv
A2-H7	조건부 채택	1 → 2	무조건은 거짓. N > N* 에서만 참	r1-h2-diff-vs-full-30line
A4-H3	채택	2	N=30 +25.6% / N=120 −66.7% (proxy)	r2-breakeven-file-length
A2-H6	채택	3	마크다운 표는 TSV 대비 +38.2%, JSON 대비 −50.9% (proxy)	r3-a2h6-markdown-table-cost
A1-H1	채택	3	긍정형 −69.3% / 부정형 −62.3%, 긍정형 우위 −18.7% (proxy)	r3-a1h1-polarity-conciseness
A1-H6	기각	3	제거한 쪽이 +6.7% 길었다. 총출력은 −0.4%로 동일	r3-a1h6-verification-removal
A5-H2	기각	3	A1-H6과 동일 주장, 같은 실험으로 판정	r3-a1h6-verification-removal
A1-H7	기각	3	길이 +39.3%, 구조 문자 보정 후 +1357% (둘 다 반대 방향)	r3-a1h7-prompt-markdown-transfer
A6-H1	채택	4	지시 3단 누적 −88.2%, 한계 절감 1681→292→165자, 품질 만점 유지	r4-a6h1-instruction-ladder
A6-H2	기각	4	보고문 −6.2%지만 총합 −2.0%로 동률. 재진술 지표도 안 움직임	r4-a6h2-input-restatement
A6-H4	채택	4	고반복 −37.8%, 정확도 1.0. 예측한 저반복 역전은 없었다	r4-a6h4-row-repeat-folding
A6-H6	채택	4	−60.5%, 정확도 1.0, R*=1 (총합 회계에서도 1회에 회수)	r4-a6h6-prompt-codebook
A6-H3	기각	5	압축률 91.2%까지 왜곡 0. 문턱은 정보가 아니라 복호기(git apply)의 성질	r5-a6h3-rate-distortion-threshold
A6-H8	기각	5	재질의 지표가 전 조건 포화. 단 왕복 합계는 C=1→C=0에서 역전	r5-a6h8-roundtrip-cost
A2-H8	조건부 채택	5	절감량 D≈79.0N+122, R²=0.9997. 단 절감률은 65.0→62.4%로 감소	r5-a2h8-record-count-scaling
A6-H5	채택	5	규칙적 데이터에서 −95.3%, 실행 대조 4/4 통과	r5-a6h5-generator-not-data
A1-H5	채택	5	148자 예시가 −82.7%, 커버리지 만점. 예시 길이에 산출물이 비례	r5-a1h5-example-length-anchor
A5-H3	채택	6	보고문 −48.6%, 총출력 −17.4%, 통과율 9/9 유지. 총량을 실제로 줄인 첫 억제 지시	r6-a5h3-final-summary-cap
A5-H4	조건부 채택	6	코드량 −6.2%지만 분포 겹침. 미요청 산출물은 바닥 효과로 판정 불가	r6-a5h4h5-scope-and-comments
A5-H5	채택	6 → 8	라운드6은 바닥 효과(주석 0자). 규약이 비자명한 과제에서 재시험 — 추가 주석 133자→0자, 테스트 18/18	r8-a5h5-comment-density
A5-H7	채택	1 → 6	라운드1은 하네스 차단으로 판정 불가. 재시험 결과 묶음이 개별 절감 합의 64.6%	r6-a5h4h5-scope-and-comments
A1-H3	조건부 채택	6 → 8	300자 상한이 간결성 지시보다 −66.7%. 라운드8 하향 확장(150·80자)은 사전등록 결함으로 판정 불가	r8-a1h3-cap-floor
A2-H2	기각	7 → 8	절감이 헤더 한 줄 상수 28자이고, 이름 충돌·불투명 값으로도 소비자 정확도 6/6. 비용은 소비자 출력에 +69.6%	r8-a2-key-abbrev-roundtrip
A2-H3	채택	7	값만 코드화 −50.2%, 소비자 복원 6/6 유지	r7-a2-schema-ladder
A2-H5	조건부 채택	7 → 8	−9.1%이고 정확도 손실 0 — 순서를 프롬프트로 옮기면 무해하다. 단 이득은 헤더 한 줄 상수	r8-a2-key-abbrev-roundtrip
A1-H4	채택	7	−19.9%, cov 6.0 유지. 단 서론·요약절(표적)은 안 걷혔다	r7-a1h4-intro-outro
A1-H2	조건부 채택	7	WB<WF −7.2%. 그러나 WT(말미 단독)가 더 짧다 — 이기는 것은 반복이 아니라 위치	r7-a1h2-instruction-placement
A1-H8	채택	8	지시가 길이를 −68.8% 줄이면서 로그분산 비 F=11.32 (임계 5.05). 변동계수 20.6%→5.6%	r8-a1h8-instruction-variance
