trial	condition	task	valid	L_file	L_diff	L_report	T	cmt	cmt_chars	extra	pass	cov	cap	under_cap
r6:t01	B	T9	True	1564	957	590	1547	0.0882	138	0	9			
r6:t02	CN800	T10	True	632		311						6	800	True
r6:t03	S3	T9	True	1564	957	268	1225	0.0882	138	0	9			
r6:t04	S4	T9	True	1460	848	386	1234	0.0945	138	0	9			
r6:t05	CN300	T10	True	240		146						6	300	True
r6:t06	S5	T9	True	1516	911	524	1435	0.091	138	0	9			
r6:t07	ALL	T9	True	1476	867	256	1123	0.0935	138	0	9			
r6:t08	B	T9	True	1495	887	409	1296	0.0923	138	0	9			
r6:t09	S3	T9	True	1564	957	261	1218	0.0882	138	0	9			
r6:t10	CN800	T10	True	652		288						6	800	True
r6:t11	S4	T9	True	1448	837	371	1208	0.0953	138	0	9			
r6:t12	S5	T9	True	1480	875	408	1283	0.0932	138	0	9			
r6:t13	ALL	T9	True	1462	855	273	1128	0.0944	138	0	9			
r6:t14	CN300	T10	True	297		289						5	300	True
r6:t15	B	T9	True	1556	949	576	1525	0.0887	138	0	9			
r6:t16	S3	T9	True	1495	887	280	1167	0.0923	138	0	9			
r6:t17	CN800	T10	True	639		213						6	800	True
r6:t18	S4	T9	True	1545	936	439	1375	0.0893	138	0	9			
r6:t19	S5	T9	True	1472	867	471	1338	0.0938	138	0	9			
r6:t20	ALL	T9	True	1450	843	227	1070	0.0952	138	0	9			
r6:t21	CN300	T10	True	206		360						6	300	True
r3:t01	C0	T10	True	2509		350						6		
r3:t04	CK	T10	True	656		166						6		
r3:t09	C0	T10	True	2753		273						6		
r3:t10	CK	T10	True	899		256						6		
r3:t15	CK	T10	True	676		148						6		
r3:t16	C0	T10	True	2013		262						6		
