trial	condition	source	gate	L_out	gz_out	acc_cell	acc_q	L_file	gz_file	cov	pre	rep	sumsec	L_report	T
t01	K	r7		597	221	1.0								109	
t02	E	r7		311	145	1.0								81	
t03	P	r7		267	104	1.0								127	
t04	WN	r7						4889	3961	10	761	65	0	387	5276
t05	K	r7		597	221	1.0								245	
t06	E	r7		311	145	1.0								99	
t07	P	r7		267	104	1.0								133	
t08	UT	r7					6							89	
t09	UK	r7					6							241	
t10	UE	r7					6							161	
t11	UP	r7					6							145	
t12	UT	r7					6							95	
t13	UK	r7					6							234	
t14	UE	r7					6							89	
t15	UP	r7					6							163	
t16	CC	r7						563	658	6	45	16	0	128	691
t17	CI	r7						1937	2012	6	206	33	1	399	2336
t18	CR	r7						1549	1637	6	150	30	0	243	1792
t19	WN	r7						6103	3654	10	960	62	0	289	6392
t20	CC	r7						567	668	6	81	17	0	169	736
t21	CI	r7						1698	1806	6	161	34	1	216	1914
t22	CR	r7						2832	2215	6	174	42	1	302	3134
t23	WN	r7						4445	3901	10	706	62	1	474	4919
t24	CC	r7						723	846	6	48	19	0	187	910
t25	CI	r7						2192	2156	6	177	39	1	283	2475
t26	CR	r7						1296	1404	6	148	27	0	302	1598
t27	WF	r7						1972	1913	10	376	33	0	163	2135
t28	WT	r7						1721	1713	10	310	37	0	145	1866
t29	WB	r7						1755	1731	10	298	33	0	188	1943
t30	WF	r7						2015	1917	10	405	34	0	271	2286
t31	WT	r7						1662	1706	10	334	33	0	115	1777
t32	WB	r7						1717	1724	10	307	38	0	167	1884
t33	WF	r7						1535	1585	10	273	32	0	120	1655
t34	WT	r7						1585	1627	10	306	33	0	188	1773
t35	WB	r7						1652	1659	10	329	33	0	159	1811
r4/t03	T	r4		625	240	1.0								137	
r4/t14	T	r4		625	240	1.0								134	
r3/t01	C0	r3						2509	2390	6	202	44	1	350	2859
r3/t04	CK	r3						656	781	6	94	17	0	166	822
r3/t09	C0	r3						2753	2666	6	202	49	1	273	3026
r3/t10	CK	r3						899	1024	6	124	18	0	256	1155
r3/t15	CK	r3						676	834	6	70	14	0	148	824
r3/t16	C0	r3						2013	1999	6	183	43	1	262	2275
