asset_id	region	env	role	os	tier	cpu	status
AS-2001	apne1	prod	web	ubuntu22	small	2	active
AS-2002	apne2	stage	api	ubuntu24	medium	2	drained
AS-2003	usea1	dev	batch	ubuntu24	large	4	halted
AS-2004	euwe1	dev	cache	debian12	small	8	halted
AS-2005	apne1	prod	web	alpine3	small	16	active
AS-2006	apne2	stage	api	alpine3	medium	2	drained
AS-2007	usea1	stage	batch	ubuntu22	large	4	drained
AS-2008	euwe1	dev	cache	ubuntu24	large	8	halted
AS-2009	apne1	prod	cache	debian12	small	16	active
AS-2010	apne2	prod	web	alpine3	medium	2	active
AS-2011	usea1	stage	api	ubuntu22	medium	4	drained
AS-2012	euwe1	dev	api	ubuntu24	large	8	halted
AS-2013	euwe1	prod	batch	debian12	small	16	halted
AS-2014	apne1	stage	cache	alpine3	small	2	active
AS-2015	apne2	dev	cache	ubuntu22	medium	4	drained
AS-2016	apne2	prod	web	ubuntu24	large	4	halted
AS-2017	usea1	stage	api	debian12	large	8	active
AS-2018	euwe1	dev	api	alpine3	small	16	drained
AS-2019	euwe1	prod	batch	ubuntu22	medium	16	halted
AS-2020	apne1	stage	cache	ubuntu22	large	2	active
AS-2021	apne2	dev	cache	ubuntu24	small	4	drained
AS-2022	apne2	prod	web	debian12	medium	4	halted
AS-2023	usea1	stage	api	debian12	large	8	active
AS-2024	euwe1	stage	batch	alpine3	small	16	active
