kind	id	verdict	detail
예측	R1	기각	전 구간 d=0 — 이 압축 범위에서 문턱이 나타나지 않았다 · 압축률=[0.0, 0.667, 0.784, 0.879, 0.912]
예측	R2	기각	W2까지 d=0 그리고 W3부터 d>0 을 기대. 실측 d=[0, 0, 0, 0, 0]
예측	R3	채택	W1R=823 vs 라운드2 W1=823 (+0.0%), 허용 ±10%
예측	T1p	기각	ask 평균=[1, 1, 1, 1, 1] (비감소이고 최소 한 구간 증가여야 함)
예측	T2p	채택	왕복 합계=[3546, 1678, 1198, 1228, 1102] · W2→W3 에서 역전
예측	L1	채택	D(N)=[349, 1087, 2011] · 적합 D≈79.0N+121.6 · R²=0.99968
예측	L2	기각	절감률 p(N)=[0.6499, 0.6349, 0.624] (단조 증가 기대)
예측	L3	채택	T12=625 vs 라운드4 SLT=625 (+0.0%)
예측	P1p	채택	규칙적: 나열 2160 → 코드 102 (-95.3%)
예측	P2p	기각	불규칙: 나열 2105 → 코드 1746 (-17.1%) — 역전 기대
예측	P3p	채택	실행 대조 4/4 통과
예측	N1	채택	짧은 예시 419 vs 긴 예시 1810 (-76.9%)
예측	N2	채택	예시 없음 2425 → 짧은 예시 419 (-82.7%)
예측	N3	채택	cov X1=6.0 X2=6.0
예측	N4	산출	예시 길이 대비 산출물 배율 — 짧은 2.83배, 긴 2.25배 (판정 대상 아님)
가설	A6-H3	기각	R1 (R3 전제 충족)
가설	A6-H8	기각	T1' ∧ T2'
가설	A2-H8	부분 채택	L1 ∧ L2
가설	A6-H5	채택	P1' ∧ P3'
가설	A1-H5	채택	N1 ∧ N3
