trial	condition	prompt	task
t01	W3	r5-W3.txt	T4
t02	J3	r5-J3.txt	T6
t03	J12	r5-J12.txt	T6
t04	GhiD	r5-GhiD.txt	T7
t05	W4	r5-W4.txt	T4
t06	T3	r5-T3.txt	T6
t07	J24	r5-J24.txt	T6
t08	GhiP	r5-GhiP.txt	T7
t09	X1	r5-X1.txt	T8
t10	T24	r5-T24.txt	T6
t11	GloD	r5-GloD.txt	T7
t12	X2	r5-X2.txt	T8
t13	GloP	r5-GloP.txt	T7
t14	W3	r5-W3.txt	T4
t15	X2	r5-X2.txt	T8
t16	J3	r5-J3.txt	T6
t17	J12	r5-J12.txt	T6
t18	GhiD	r5-GhiD.txt	T7
t19	X1	r5-X1.txt	T8
t20	W4	r5-W4.txt	T4
t21	T3	r5-T3.txt	T6
t22	J24	r5-J24.txt	T6
t23	GhiP	r5-GhiP.txt	T7
t24	X2	r5-X2.txt	T8
t25	T24	r5-T24.txt	T6
t26	GloD	r5-GloD.txt	T7
t27	W1R	r2-B120.txt	T4
t28	GloP	r5-GloP.txt	T7
t29	X1	r5-X1.txt	T8
t30	RW0	r5-RD.txt	T5
t31	RW1	r5-RD.txt	T5
t32	RW2	r5-RD.txt	T5
t33	RW3	r5-RD.txt	T5
t34	RW4	r5-RD.txt	T5
t35	RW0	r5-RD.txt	T5
t36	RW1	r5-RD.txt	T5
t37	RW2	r5-RD.txt	T5
t38	RW3	r5-RD.txt	T5
t39	RW4	r5-RD.txt	T5
