trial	cond	task	L_file	gz_file	L_report	hangul	rows_ok	cells_ok	acc_q	cov	cap	cap_ok	fill	cmt	cmt_add	pass	test_intact
t01	T	T15	475	198	152	0.0	1	1									
t02	K	T15	448	176	152	0.0	1	1									
t03	R	T15	432	166	145	0.0	1	1									
t04	T	T15	475	198	162	0.0	1	1									
t05	K	T15	448	176	296	0.0	1	1									
t06	R	T15	432	166	98	0.0	1	1									
t07	UT	T15	75	60	105	0.125			6								
t08	UK	T15	75	60	753	0.125			6								
t09	UR	T15	73	56	161	0.0			6								
t10	UT	T15	75	60	119	0.125			6								
t11	UK	T15	75	60	342	0.125			6								
t12	UR	T15	75	60	150	0.125			6								
t13	CN150	T16	118	222	133	0.772				5	150	1	0.787				
t14	CN80	T16	76	128	139	0.535				6	80	1	0.95				
t15	CN150	T16	121	219	185	0.75				6	150	1	0.807				
t16	CN80	T16	72	126	103	0.561				5	80	1	0.9				
t17	CN150	T16	112	209	126	0.718				6	150	1	0.747				
t18	CN80	T16	69	115	225	0.5				6	80	1	0.863				
t19	WN	T17	4546	3221	452	0.807				10							
t20	WT	T17	1679	1671	191	0.775				10							
t21	WN	T17	4446	3612	522	0.84				10							
t22	WT	T17	1687	1659	341	0.719				10							
t23	WN	T17	7032	4792	476	0.823				10							
t24	WT	T17	1472	1512	158	0.685				10							
t25	DB	T18	1387	887	294	0.157								227	136	10	1
t26	DB	T18	1385	878	421	0.157								229	138	10	1
t27	DB	T18	1344	881	436	0.156								216	125	10	1
t28	DS	T18	1278	739	343	0.069								91	0	10	1
t29	DS	T18	1285	743	408	0.069								91	0	10	1
t30	DS	T18	1320	743	254	0.066								91	0	10	1
