trial	condition	task	valid	L_file	G_file	L_report	L_diff	cov	pass	acc	L_min	ncd
r4:t01	K2	T1	True	499	605	303		6				0.695
r4:t02	B2	T2	True	965		516	672		11			0.806
r4:t03	SLT	T3	True	625	240	137				1.0	625	0.861
r4:t04	K3	T1	True	235	333	313		6				0.694
r4:t05	X2	T2	True	950		384	688		11			0.873
r4:t06	SLF	T3	True	567	245	411				1.0	567	0.755
r4:t07	SHT	T3	True	629	188	313				1.0	629	0.739
r4:t08	K2	T1	True	441	554	317		6				0.696
r4:t09	B2	T2	True	950		346	688		11			0.834
r4:t10	SHF	T3	True	391	191	265				1.0	391	0.856
r4:t11	CB	T3	True	247	110	178				1.0	247	0.884
r4:t12	K3	T1	True	213	314	165		6				0.823
r4:t13	X2	T2	True	950		355	688		11			0.876
r4:t14	SLT	T3	True	625	240	134				1.0	625	0.86
r4:t15	K0R	T1	True	1904	1837	434		6				0.644
r4:t16	SLF	T3	True	567	245	226				1.0	567	0.847
r4:t17	B2	T2	True	965		605	672		11			0.855
r4:t18	K2	T1	True	414	527	306		6				0.696
r4:t19	SHT	T3	True	629	188	329				1.0	629	0.709
r4:t20	X2	T2	True	970		637	677		11			0.737
r4:t21	SHF	T3	True	391	191	359				1.0	391	0.851
r4:t22	CB	T3	True	247	110	332				1.0	247	0.779
r4:t23	K3	T1	True	410	531	447		6				0.674
r3:t01	K0	T1	True	2509	2390	350		6				0.732
r3:t04	K1	T1	True	656	781	166		6				0.807
r3:t09	K0	T1	True	2753	2666	273		6				0.756
r3:t10	K1	T1	True	899	1024	256		6				0.784
r3:t15	K1	T1	True	676	834	148		6				0.825
r3:t16	K0	T1	True	2013	1999	262		6				0.781
